An Tiến,x,01,282,10495
Hợp Tiến,x,01,282,10498
Hợp Thanh,x,01,282,10501
An Phú,x,01,282,10504
Cẩm Thượng,p,30,288,10507
Bình Hàn,p,30,288,10510
Ngọc Châu,p,30,288,10513
Nhị Châu,p,30,288,10514
Quang Trung,p,30,288,10516
Nguyễn Trãi,p,30,288,10519
Phạm Ngũ Lão,p,30,288,10522
Trần Hưng Đạo,p,30,288,10525
Trần Phú,p,30,288,10528
Thanh Bình,p,30,288,10531
Tân Bình,p,30,288,10532
Lê Thanh Nghị,p,30,288,10534
Hải Tân,p,30,288,10537
Tứ Minh,p,30,288,10540
Việt Hoà,p,30,288,10543
Phả Lại,p,30,290,10546
Sao Đỏ,p,30,290,10549
Bến Tắm,p,30,290,10552
Hoàng Hoa Thám,x,30,290,10555
Bắc An,x,30,290,10558
Hưng Đạo,x,30,290,10561
Lê Lợi,x,30,290,10564
Hoàng Tiến,p,30,290,10567
Cộng Hoà,p,30,290,10570
Hoàng Tân,p,30,290,10573
Cổ Thành,p,30,290,10576
Văn An,p,30,290,10579
Chí Minh,p,30,290,10582
Văn Đức,p,30,290,10585
Thái Học,p,30,290,10588
Nhân Huệ,x,30,290,10591
An Lạc,p,30,290,10594
Đồng Lạc,p,30,290,10600
Tân Dân,p,30,290,10603
Nam Sách,tt,30,291,10606
Nam Hưng,x,30,291,10609
Nam Tân,x,30,291,10612
Hợp Tiến,x,30,291,10615
Hiệp Cát,x,30,291,10618
Thanh Quang,x,30,291,10621
Quốc Tuấn,x,30,291,10624
Nam Chính,x,30,291,10627
An Bình,x,30,291,10630
Nam Trung,x,30,291,10633
An Sơn,x,30,291,10636
Cộng Hòa,x,30,291,10639
Thái Tân,x,30,291,10642
An Lâm,x,30,291,10645
Phú Điền,x,30,291,10648
Nam Hồng,x,30,291,10651
Hồng Phong,x,30,291,10654
Đồng Lạc,x,30,291,10657
Ái Quốc,p,30,288,10660
An Thượng,x,30,288,10663
Minh Tân,x,30,291,10666
Nam Đồng,p,30,288,10672
An Lưu,p,30,292,10675
Bạch Đằng,x,30,292,10678
Thất Hùng,p,30,292,10681
Lê Ninh,x,30,292,10684
Hoành Sơn,x,30,292,10687
Phạm Thái,p,30,292,10693
Duy Tân,p,30,292,10696
Tân Dân,p,30,292,10699
Minh Tân,p,30,292,10702
Quang Thành,x,30,292,10705
Hiệp Hòa,x,30,292,10708
Phú Thứ,p,30,292,10714
Thăng Long,x,30,292,10717
Lạc Long,x,30,292,10720
An Sinh,p,30,292,10723
Hiệp Sơn,p,30,292,10726
Thượng Quận,x,30,292,10729
An Phụ,p,30,292,10732
Hiệp An,p,30,292,10735
Long Xuyên,p,30,292,10738
Thái Thịnh,p,30,292,10741
Hiến Thành,p,30,292,10744
Minh Hòa,x,30,292,10747
Phú Thái,tt,30,293,10750
Lai Vu,x,30,293,10753
Cộng Hòa,x,30,293,10756
Thượng Vũ,x,30,293,10759
Cổ Dũng,x,30,293,10762
Tuấn Việt,x,30,293,10768
Kim Xuyên,x,30,293,10771
Phúc Thành A,x,30,293,10774
Ngũ Phúc,x,30,293,10777
Kim Anh,x,30,293,10780
Kim Liên,x,30,293,10783
Kim Tân,x,30,293,10786
Kim Đính,x,30,293,10792
Bình Dân,x,30,293,10798
Tam Kỳ,x,30,293,10801
Đồng Cẩm,x,30,293,10804
Liên Hòa,x,30,293,10807
Đại Đức,x,30,293,10810
Thanh Hà,tt,30,294,10813
Hồng Lạc,x,30,294,10816
Việt Hồng,x,30,294,10819
Quyết Thắng,x,30,288,10822
Tân Việt,x,30,294,10825
Cẩm Chế,x,30,294,10828
Thanh An,x,30,294,10831
Thanh Lang,x,30,294,10834
Tiền Tiến,x,30,288,10837
Tân An,x,30,294,10840
Liên Mạc,x,30,294,10843
Thanh Hải,x,30,294,10846
Thanh Khê,x,30,294,10849
Thanh Xá,x,30,294,10852
Thanh Xuân,x,30,294,10855
Thanh Thủy,x,30,294,10861
An Phượng,x,30,294,10864
Thanh Sơn,x,30,294,10867
Thanh Quang,x,30,294,10876
Thanh Hồng,x,30,294,10879
Thanh Cường,x,30,294,10882
Vĩnh Lập,x,30,294,10885
Cẩm Giang,tt,30,295,10888
Lai Cách,tt,30,295,10891
Cẩm Hưng,x,30,295,10894
Cẩm Hoàng,x,30,295,10897
Cẩm Văn,x,30,295,10900
Ngọc Liên,x,30,295,10903
Thạch Lỗi,x,30,295,10906
Cẩm Vũ,x,30,295,10909
Đức Chính,x,30,295,10912
Định Sơn,x,30,295,10918
Lương Điền,x,30,295,10924
Cao An,x,30,295,10927
Tân Trường,x,30,295,10930
Cẩm Phúc,x,30,295,10933
Cẩm Điền,x,30,295,10936
Cẩm Đông,x,30,295,10939
Cẩm Đoài,x,30,295,10942
Kẻ Sặt,tt,30,296,10945
Vĩnh Hưng,x,30,296,10951
Hùng Thắng,x,30,296,10954
Vĩnh Hồng,x,30,296,10960
Long Xuyên,x,30,296,10963
Tân Việt,x,30,296,10966
Thúc Kháng,x,30,296,10969
Tân Hồng,x,30,296,10972
Bình Minh,x,30,296,10975
Hồng Khê,x,30,296,10978
Thái Học,x,30,296,10981
Cổ Bì,x,30,296,10984
Nhân Quyền,x,30,296,10987
Thái Dương,x,30,296,10990
Thái Hòa,x,30,296,10993
Bình Xuyên,x,30,296,10996
Gia Lộc,tt,30,297,10999
Thạch Khôi,p,30,288,11002
Liên Hồng,x,30,288,11005
Thống Nhất,x,30,297,11008
Tân Hưng,p,30,288,11011
Gia Xuyên,x,30,288,11017
Yết Kiêu,x,30,297,11020
Gia Tân,x,30,297,11029
Tân Tiến,x,30,297,11032
Gia Khánh,x,30,297,11035
Gia Lương,x,30,297,11038
Lê Lợi,x,30,297,11041
Toàn Thắng,x,30,297,11044
Hoàng Diệu,x,30,297,11047
Hồng Hưng,x,30,297,11050
Phạm Trấn,x,30,297,11053
Đoàn Thượng,x,30,297,11056
Thống Kênh,x,30,297,11059
Quang Minh,x,30,297,11062
Đồng Quang,x,30,297,11065
Nhật Tân,x,30,297,11068
Đức Xương,x,30,297,11071
Tứ Kỳ,tt,30,298,11074
Ngọc Sơn,x,30,288,11077
Đại Sơn,x,30,298,11083
Hưng Đạo,x,30,298,11086
Ngọc Kỳ,x,30,298,11089
Bình Lăng,x,30,298,11092
Chí Minh,x,30,298,11095
Tái Sơn,x,30,298,11098
Quang Phục,x,30,298,11101
Dân Chủ,x,30,298,11110
Tân Kỳ,x,30,298,11113
Quang Khải,x,30,298,11116
Đại Hợp,x,30,298,11119
Quảng Nghiệp,x,30,298,11122
An Thanh,x,30,298,11125
Minh Đức,x,30,298,11128
Văn Tố,x,30,298,11131
Quang Trung,x,30,298,11134
Phượng Kỳ,x,30,298,11137
Cộng Lạc,x,30,298,11140
Tiên Động,x,30,298,11143
Nguyên Giáp,x,30,298,11146
Hà Kỳ,x,30,298,11149
Hà Thanh,x,30,298,11152
Ninh Giang,tt,30,299,11155
Ứng Hoè,x,30,299,11161
Nghĩa An,x,30,299,11164
Hồng Đức,x,30,299,11167
An Đức,x,30,299,11173
Vạn Phúc,x,30,299,11176
Tân Hương,x,30,299,11179
Vĩnh Hòa,x,30,299,11185
Đông Xuyên,x,30,299,11188
Tân Phong,x,30,299,11197
Ninh Hải,x,30,299,11200
Đồng Tâm,x,30,299,11203
Tân Quang,x,30,299,11206
Kiến Quốc,x,30,299,11209
Hồng Dụ,x,30,299,11215
Văn Hội,x,30,299,11218
Hồng Phong,x,30,299,11224
Hiệp Lực,x,30,299,11227
Hồng Phúc,x,30,299,11230
Hưng Long,x,30,299,11233
Thanh Miện,tt,30,300,11239
Thanh Tùng,x,30,300,11242
Phạm Kha,x,30,300,11245
Ngô Quyền,x,30,300,11248
Đoàn Tùng,x,30,300,11251
Hồng Quang,x,30,300,11254
Tân Trào,x,30,300,11257
Lam Sơn,x,30,300,11260
Đoàn Kết,x,30,300,11263
Lê Hồng,x,30,300,11266
Tứ Cường,x,30,300,11269
Ngũ Hùng,x,30,300,11275
Cao Thắng,x,30,300,11278
Chi Lăng Bắc,x,30,300,11281
Chi Lăng Nam,x,30,300,11284
Thanh Giang,x,30,300,11287
Hồng Phong,x,30,300,11293
Quán Toan,p,31,303,11296
Hùng Vương,p,31,303,11299
Sở Dầu,p,31,303,11302
Thượng Lý,p,31,303,11305
Hạ Lý,p,31,303,11308
Minh Khai,p,31,303,11311
Trại Chuối,p,31,303,11314
Hoàng Văn Thụ,p,31,303,11320
Phan Bội Châu,p,31,303,11323
Máy Chai,p,31,304,11329
Máy Tơ,p,31,304,11332
Vạn Mỹ,p,31,304,11335
Cầu Tre,p,31,304,11338
Lạc Viên,p,31,304,11341
Gia Viên,p,31,304,11347
Đông Khê,p,31,304,11350
Cầu Đất,p,31,304,11353
Lê Lợi,p,31,304,11356
Đằng Giang,p,31,304,11359
Lạch Tray,p,31,304,11362
Đổng Quốc Bình,p,31,304,11365
Cát Dài,p,31,305,11368
An Biên,p,31,305,11371
Lam Sơn,p,31,305,11374
An Dương,p,31,305,11377
Trần Nguyên Hãn,p,31,305,11380
Hồ Nam,p,31,305,11383
Trại Cau,p,31,305,11386
Dư Hàng,p,31,305,11389
Hàng Kênh,p,31,305,11392
Đông Hải,p,31,305,11395
Niệm Nghĩa,p,31,305,11398
Nghĩa Xá,p,31,305,11401
Dư Hàng Kênh,p,31,305,11404
Kênh Dương,p,31,305,11405
Vĩnh Niệm,p,31,305,11407
Đông Hải 1,p,31,306,11410
Đông Hải 2,p,31,306,11411
Đằng Lâm,p,31,306,11413
Thành Tô,p,31,306,11414
Đằng Hải,p,31,306,11416
Nam Hải,p,31,306,11419
Cát Bi,p,31,306,11422
Tràng Cát,p,31,306,11425
Quán Trữ,p,31,307,11428
Lãm Hà,p,31,307,11429
Đồng Hoà,p,31,307,11431
Bắc Sơn,p,31,307,11434
Nam Sơn,p,31,307,11437
Ngọc Sơn,p,31,307,11440
Trần Thành Ngọ,p,31,307,11443
Văn Đẩu,p,31,307,11446
Phù Liễn,p,31,307,11449
Tràng Minh,p,31,307,11452
Ngọc Xuyên,p,31,308,11455
Hải Sơn,p,31,308,11458
Vạn Hương,p,31,308,11461
Minh Đức,p,31,308,11465
Bàng La,p,31,308,11467
Núi Đèo,tt,31,311,11470
Minh Đức,tt,31,311,11473
Lại Xuân,x,31,311,11476
An Sơn,x,31,311,11479
Kỳ Sơn,x,31,311,11482
Liên Khê,x,31,311,11485
Lưu Kiếm,x,31,311,11488
Lưu Kỳ,x,31,311,11491
Gia Minh,x,31,311,11494
Gia Đức,x,31,311,11497
Minh Tân,x,31,311,11500
Phù Ninh,x,31,311,11503
Quảng Thanh,x,31,311,11506
Chính Mỹ,x,31,311,11509
Kênh Giang,x,31,311,11512
Hợp Thành,x,31,311,11515
Cao Nhân,x,31,311,11518
Mỹ Đồng,x,31,311,11521
Đông Sơn,x,31,311,11524
Hoà Bình,x,31,311,11527
Trung Hà,x,31,311,11530
An Lư,x,31,311,11533
Thuỷ Triều,x,31,311,11536
Ngũ Lão,x,31,311,11539
Phục Lễ,x,31,311,11542
Tam Hưng,x,31,311,11545
Phả Lễ,x,31,311,11548
Lập Lễ,x,31,311,11551
Kiền Bái,x,31,311,11554
Thiên Hương,x,31,311,11557
Thuỷ Sơn,x,31,311,11560
Thuỷ Đường,x,31,311,11563
Hoàng Động,x,31,311,11566
Lâm Động,x,31,311,11569
Hoa Động,x,31,311,11572
Tân Dương,x,31,311,11575
Dương Quan,x,31,311,11578
An Dương,tt,31,312,11581
Lê Thiện,x,31,312,11584
Đại Bản,x,31,312,11587
An Hoà,x,31,312,11590
Hồng Phong,x,31,312,11593
Tân Tiến,x,31,312,11596
An Hưng,x,31,312,11599
An Hồng,x,31,312,11602
Bắc Sơn,x,31,312,11605
Nam Sơn,x,31,312,11608
Lê Lợi,x,31,312,11611
Đặng Cương,x,31,312,11614
Đồng Thái,x,31,312,11617
Quốc Tuấn,x,31,312,11620
An Đồng,x,31,312,11623
Hồng Thái,x,31,312,11626
An Lão,tt,31,313,11629
Bát Trang,x,31,313,11632
Trường Thọ,x,31,313,11635
Trường Thành,x,31,313,11638
An Tiến,x,31,313,11641
Quang Hưng,x,31,313,11644
Quang Trung,x,31,313,11647
Quốc Tuấn,x,31,313,11650
An Thắng,x,31,313,11653
Trường Sơn,tt,31,313,11656
Tân Dân,x,31,313,11659
Thái Sơn,x,31,313,11662
Tân Viên,x,31,313,11665
Mỹ Đức,x,31,313,11668
Chiến Thắng,x,31,313,11671
An Thọ,x,31,313,11674
An Thái,x,31,313,11677
Núi Đối,tt,31,314,11680
Đa Phúc,p,31,309,11683
Hưng Đạo,p,31,309,11686
Anh Dũng,p,31,309,11689
Hải Thành,p,31,309,11692
Đông Phương,x,31,314,11695
Thuận Thiên,x,31,314,11698
Hữu Bằng,x,31,314,11701
Đại Đồng,x,31,314,11704
Hoà Nghĩa,p,31,309,11707
Ngũ Phúc,x,31,314,11710
Kiến Quốc,x,31,314,11713
Du Lễ,x,31,314,11716
Thuỵ Hương,x,31,314,11719
Thanh Sơn,x,31,314,11722
Minh Tân,x,31,314,11725
Đại Hà,x,31,314,11728
Ngũ Đoan,x,31,314,11731
Tân Phong,x,31,314,11734
Hợp Đức,p,31,308,11737
Tân Thành,p,31,309,11740
Tân Trào,x,31,314,11743
Đoàn Xá,x,31,314,11746
Tú Sơn,x,31,314,11749
Đại Hợp,x,31,314,11752
Tiên Lãng,tt,31,315,11755
Đại Thắng,x,31,315,11758
Tiên Cường,x,31,315,11761
Tự Cường,x,31,315,11764
Quyết Tiến,x,31,315,11770
Khởi Nghĩa,x,31,315,11773
Tiên Thanh,x,31,315,11776
Cấp Tiến,x,31,315,11779
Kiến Thiết,x,31,315,11782
Đoàn Lập,x,31,315,11785
Bạch Đằng,x,31,315,11788
Quang Phục,x,31,315,11791
Toàn Thắng,x,31,315,11794
Tiên Thắng,x,31,315,11797
Tiên Minh,x,31,315,11800
Bắc Hưng,x,31,315,11803
Nam Hưng,x,31,315,11806
Hùng Thắng,x,31,315,11809
Tây Hưng,x,31,315,11812
Đông Hưng,x,31,315,11815
Vinh Quang,x,31,315,11821
Vĩnh Bảo,tt,31,316,11824
Dũng Tiến,x,31,316,11827
Giang Biên,x,31,316,11830
Thắng Thuỷ,x,31,316,11833
Trung Lập,x,31,316,11836
Việt Tiến,x,31,316,11839
Vĩnh An,x,31,316,11842
Vĩnh Long,x,31,316,11845
Hiệp Hoà,x,31,316,11848
Hùng Tiến,x,31,316,11851
An Hoà,x,31,316,11854
Tân Hưng,x,31,316,11857
Tân Liên,x,31,316,11860
Nhân Hoà,x,31,316,11863
Tam Đa,x,31,316,11866
Hưng Nhân,x,31,316,11869
Vinh Quang,x,31,316,11872
Đồng Minh,x,31,316,11875
Thanh Lương,x,31,316,11878
Liên Am,x,31,316,11881
Lý Học,x,31,316,11884
Tam Cường,x,31,316,11887
Hoà Bình,x,31,316,11890
Tiền Phong,x,31,316,11893
Vĩnh Phong,x,31,316,11896
Cộng Hiền,x,31,316,11899
Cao Minh,x,31,316,11902
Cổ Am,x,31,316,11905
Vĩnh Tiến,x,31,316,11908
Trấn Dương,x,31,316,11911
Cát Bà,tt,31,317,11914
Cát Hải,tt,31,317,11917
Nghĩa Lộ,x,31,317,11920
Đồng Bài,x,31,317,11923
Hoàng Châu,x,31,317,11926
Văn Phong,x,31,317,11929
Phù Long,x,31,317,11932
Gia Luận,x,31,317,11935
Hiền Hào,x,31,317,11938
Trân Châu,x,31,317,11941
Việt Hải,x,31,317,11944
Xuân Đám,x,31,317,11947
Lam Sơn,p,33,323,11950
Hiến Nam,p,33,323,11953
An Tảo,p,33,323,11956
Lê Lợi,p,33,323,11959
Minh Khai,p,33,323,11962
Quang Trung,p,33,323,11965
Hồng Châu,p,33,323,11968
Trung Nghĩa,x,33,323,11971
Liên Phương,x,33,323,11974
Hồng Nam,x,33,323,11977
Quảng Châu,x,33,323,11980
Bảo Khê,x,33,323,11983
Như Quỳnh,tt,33,325,11986
Lạc Đạo,x,33,325,11989
Chỉ Đạo,x,33,325,11992
Đại Đồng,x,33,325,11995
Việt Hưng,x,33,325,11998
Tân Quang,x,33,325,12001
Đình Dù,x,33,325,12004
Minh Hải,x,33,325,12007
Lương Tài,x,33,325,12010
Trưng Trắc,x,33,325,12013
Lạc Hồng,x,33,325,12016
